time,magX,magY,magZ,accX,accY,accZ,gyrX,gyrY,gyrZ,eulerX,eulerY,eulerZ,linX,linY,linZ,gravX,gravY,gravZ
1686659462.362447,3.1875,-22.875,-45.75,-0.28,0.33,9.38,0.0,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659462.412445,3.5,-23.5625,-45.25,-0.27,0.34,9.39,0.001090830782496456,-0.002181661564992912,0.0,186.0,-1.4375,-2.0,-0.06,0.0,-0.38,-0.25,0.34,9.790000000000001
1686659462.462674,3.5,-22.5,-46.5625,-0.29,0.35000000000000003,9.4,0.001090830782496456,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.04,-0.02,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659462.511739,3.875,-22.875,-46.0,-0.28,0.34,9.4,-0.001090830782496456,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.0,-0.4,-0.25,0.34,9.790000000000001
1686659462.562984,4.25,-23.1875,-46.875,-0.28,0.35000000000000003,9.370000000000001,0.001090830782496456,-0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.0,-0.4,-0.25,0.34,9.790000000000001
1686659462.613044,2.875,-23.1875,-46.5625,-0.28,0.33,9.4,-0.002181661564992912,0.001090830782496456,-0.001090830782496456,186.0,-1.4375,-2.0,-0.02,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659462.663366,2.5,-23.5625,-46.5625,-0.28,0.33,9.38,0.002181661564992912,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.39,-0.25,0.34,9.790000000000001
1686659462.713473,4.6875,-22.5,-46.5625,-0.29,0.33,9.41,0.0,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.01,-0.4,-0.25,0.34,9.790000000000001
1686659462.763564,3.1875,-22.5,-45.75,-0.3,0.35000000000000003,9.4,-0.001090830782496456,-0.003272492347489368,0.0,186.0,-1.4375,-2.0,-0.03,0.01,-0.43,-0.25,0.34,9.790000000000001
1686659462.814836,5.6875,-23.5625,-45.375,-0.29,0.34,9.38,0.0,0.0,-0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659462.864967,4.6875,-22.875,-45.75,-0.3,0.35000000000000003,9.39,0.0,0.002181661564992912,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.01,-0.4,-0.25,0.34,9.790000000000001
1686659462.915045,3.875,-22.5,-46.875,-0.27,0.34,9.39,0.001090830782496456,0.0,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659462.96524,2.875,-23.1875,-46.875,-0.27,0.35000000000000003,9.39,-0.001090830782496456,0.0,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.4,-0.25,0.34,9.790000000000001
1686659463.014434,3.5,-24.0,-45.75,-0.3,0.34,9.39,0.0,0.0,-0.001090830782496456,186.0,-1.4375,-2.0,-0.05,0.01,-0.39,-0.25,0.34,9.790000000000001
1686659463.064451,4.6875,-23.1875,-46.5625,-0.29,0.36,9.39,0.001090830782496456,0.0,0.0,186.0,-1.4375,-2.0,-0.04,0.0,-0.39,-0.25,0.34,9.790000000000001
1686659463.115071,3.1875,-23.1875,-47.0,-0.26,0.34,9.38,0.001090830782496456,0.001090830782496456,-0.002181661564992912,186.0,-1.4375,-2.0,-0.04,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659463.165136,2.875,-22.875,-46.5625,-0.28,0.35000000000000003,9.39,0.0,0.0,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.4,-0.25,0.34,9.790000000000001
1686659463.214975,3.875,-22.875,-46.5,-0.28,0.34,9.38,0.001090830782496456,-0.002181661564992912,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659463.26621,3.5,-23.1875,-47.375,-0.29,0.36,9.370000000000001,0.0,0.0,0.0,186.0,-1.4375,-2.0,-0.02,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659463.316294,3.5,-23.1875,-44.875,-0.3,0.35000000000000003,9.39,-0.001090830782496456,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659463.367762,4.6875,-22.875,-46.875,-0.28,0.34,9.38,0.0,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659463.417899,3.5,-22.875,-45.75,-0.29,0.34,9.39,0.0,-0.002181661564992912,-0.001090830782496456,186.0,-1.4375,-2.0,-0.04,-0.01,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659463.468324,3.5,-22.0625,-44.875,-0.29,0.33,9.4,0.0,-0.001090830782496456,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659463.518,4.25,-22.875,-46.0625,-0.3,0.34,9.39,0.0,0.001090830782496456,-0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659463.567197,3.5,-22.5,-44.5625,-0.28,0.35000000000000003,9.38,0.001090830782496456,0.001090830782496456,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.4,-0.25,0.34,9.790000000000001
1686659463.618628,4.25,-23.1875,-46.5625,-0.28,0.34,9.4,-0.001090830782496456,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.04,0.01,-0.4,-0.25,0.34,9.790000000000001
1686659463.66883,4.6875,-22.5,-46.1875,-0.31,0.36,9.4,-0.001090830782496456,0.0,0.0,186.0,-1.4375,-2.0,-0.03,0.01,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659463.718706,3.1875,-22.875,-44.875,-0.3,0.35000000000000003,9.39,0.0,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.02,-0.44,-0.25,0.34,9.790000000000001
1686659463.768964,3.875,-23.5625,-45.375,-0.29,0.33,9.4,-0.001090830782496456,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.02,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659463.819076,3.1875,-23.1875,-47.0,-0.28,0.34,9.38,-0.002181661564992912,-0.002181661564992912,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659463.869434,5.0,-23.5625,-46.1875,-0.29,0.36,9.41,-0.001090830782496456,0.002181661564992912,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.01,-0.42,-0.25,0.34,9.790000000000001
1686659463.920523,3.5,-22.875,-46.0625,-0.28,0.34,9.39,0.002181661564992912,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.03,-0.43,-0.25,0.34,9.790000000000001
1686659463.970678,3.5,-23.1875,-47.0,-0.28,0.35000000000000003,9.41,-0.001090830782496456,0.0,-0.002181661564992912,186.0,-1.4375,-2.0,-0.02,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659464.019694,3.875,-22.5,-47.375,-0.29,0.34,9.39,-0.001090830782496456,0.002181661564992912,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.01,-0.43,-0.25,0.34,9.790000000000001
1686659464.070081,4.25,-24.0,-45.75,-0.3,0.33,9.39,-0.001090830782496456,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.04,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659464.120021,4.25,-23.1875,-46.0625,-0.28,0.34,9.39,-0.001090830782496456,0.0,0.0,186.0,-1.4375,-2.0,-0.05,0.01,-0.4,-0.25,0.34,9.790000000000001
1686659464.171403,3.875,-23.5625,-45.375,-0.3,0.34,9.39,0.0,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.44,-0.25,0.34,9.790000000000001
1686659464.220555,3.5,-22.875,-46.1875,-0.28,0.35000000000000003,9.38,0.0,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.04,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
