time,magX,magY,magZ,accX,accY,accZ,gyrX,gyrY,gyrZ,eulerX,eulerY,eulerZ,linX,linY,linZ,gravX,gravY,gravZ
1686659297.81911,2.0,-25.875,-44.375,-0.24,0.35000000000000003,9.36,-0.001090830782496456,0.001090830782496456,0.0,183.75,-1.375,-1.8125,0.0,0.02,-0.41000000000000003,-0.24,0.31,9.790000000000001
1686659297.869698,3.0,-25.1875,-43.1875,-0.24,0.35000000000000003,9.370000000000001,0.0,-0.001090830782496456,-0.001090830782496456,183.75,-1.375,-1.8125,0.0,0.03,-0.39,-0.24,0.31,9.790000000000001
1686659297.919839,3.0,-24.75,-44.0,-0.24,0.36,9.38,0.002181661564992912,-0.003272492347489368,0.001090830782496456,183.75,-1.375,-1.8125,0.0,0.01,-0.41000000000000003,-0.24,0.31,9.790000000000001
1686659297.970311,2.0,-25.5,-43.5625,-0.23,0.34,9.370000000000001,0.0,-0.001090830782496456,0.001090830782496456,183.75,-1.375,-1.8125,0.0,0.05,-0.41000000000000003,-0.24,0.31,9.790000000000001
1686659298.020249,2.5625,-25.1875,-44.0,-0.24,0.34,9.370000000000001,0.0,-0.001090830782496456,0.001090830782496456,183.75,-1.375,-1.8125,-0.01,0.03,-0.38,-0.24,0.31,9.790000000000001
1686659298.070414,2.5625,-25.1875,-44.0,-0.23,0.34,9.39,0.0,-0.001090830782496456,0.001090830782496456,183.75,-1.375,-1.8125,-0.01,0.03,-0.4,-0.24,0.31,9.790000000000001
1686659298.122311,2.5625,-24.75,-43.1875,-0.24,0.33,9.370000000000001,0.001090830782496456,0.002181661564992912,0.001090830782496456,183.75,-1.375,-1.8125,-0.01,0.02,-0.4,-0.24,0.31,9.790000000000001
1686659298.172927,2.5625,-25.1875,-44.0,-0.22,0.35000000000000003,9.39,-0.001090830782496456,0.0,0.0,-1864.25,-1.375,-1.8125,-0.01,0.04,-0.41000000000000003,-0.24,0.31,9.790000000000001
1686659298.223258,2.25,-25.1875,-43.1875,-0.24,0.34,9.370000000000001,0.001090830782496456,-0.003272492347489368,-0.001090830782496456,183.75,-1.375,-1.8125,-0.01,0.01,-0.4,-0.24,0.31,9.790000000000001
1686659298.273951,3.75,-25.875,-44.75,-0.23,0.33,9.370000000000001,-0.001090830782496456,-0.001090830782496456,-0.001090830782496456,183.75,-1.375,-1.8125,0.0,0.04,-0.41000000000000003,-0.24,0.31,9.790000000000001
